"id","x","y","center_x","center_y"
"San Diego",86.60254,10,86.60254,0
"San Diego",77.94229,5,86.60254,0
"San Diego",77.94229,-5,86.60254,0
"San Diego",86.60254,-10,86.60254,0
"San Diego",95.26279,-5,86.60254,0
"San Diego",95.26279,5,86.60254,0
"Imperial",103.92305,10,103.92305,0
"Imperial",95.26279,5,103.92305,0
"Imperial",95.26279,-5,103.92305,0
"Imperial",103.92305,-10,103.92305,0
"Imperial",112.5833,-5,103.92305,0
"Imperial",112.5833,5,103.92305,0
"Riverside",112.5833,25,112.5833,15
"Riverside",103.92305,20,112.5833,15
"Riverside",103.92305,10,112.5833,15
"Riverside",112.5833,5,112.5833,15
"Riverside",121.24356,10,112.5833,15
"Riverside",121.24356,20,112.5833,15
"Orange",95.26279,25,95.26279,15
"Orange",86.60254,20,95.26279,15
"Orange",86.60254,10,95.26279,15
"Orange",95.26279,5,95.26279,15
"Orange",103.92305,10,95.26279,15
"Orange",103.92305,20,95.26279,15
"Los Angeles",77.94229,25,77.94229,15
"Los Angeles",69.28203,20,77.94229,15
"Los Angeles",69.28203,10,77.94229,15
"Los Angeles",77.94229,5,77.94229,15
"Los Angeles",86.60254,10,77.94229,15
"Los Angeles",86.60254,20,77.94229,15
"Santa Barbara",51.96152,40,51.96152,30
"Santa Barbara",43.30127,35,51.96152,30
"Santa Barbara",43.30127,25,51.96152,30
"Santa Barbara",51.96152,20,51.96152,30
"Santa Barbara",60.62178,25,51.96152,30
"Santa Barbara",60.62178,35,51.96152,30
"Ventura",69.28203,40,69.28203,30
"Ventura",60.62178,35,69.28203,30
"Ventura",60.62178,25,69.28203,30
"Ventura",69.28203,20,69.28203,30
"Ventura",77.94229,25,69.28203,30
"Ventura",77.94229,35,69.28203,30
"San Bernardino",86.60254,40,86.60254,30
"San Bernardino",77.94229,35,86.60254,30
"San Bernardino",77.94229,25,86.60254,30
"San Bernardino",86.60254,20,86.60254,30
"San Bernardino",95.26279,25,86.60254,30
"San Bernardino",95.26279,35,86.60254,30
"Kern",77.94229,55,77.94229,45
"Kern",69.28203,50,77.94229,45
"Kern",69.28203,40,77.94229,45
"Kern",77.94229,35,77.94229,45
"Kern",86.60254,40,77.94229,45
"Kern",86.60254,50,77.94229,45
"San Luis Obispo",60.62178,55,60.62178,45
"San Luis Obispo",51.96152,50,60.62178,45
"San Luis Obispo",51.96152,40,60.62178,45
"San Luis Obispo",60.62178,35,60.62178,45
"San Luis Obispo",69.28203,40,60.62178,45
"San Luis Obispo",69.28203,50,60.62178,45
"Monterey",34.64102,70,34.64102,60
"Monterey",25.98076,65,34.64102,60
"Monterey",25.98076,55,34.64102,60
"Monterey",34.64102,50,34.64102,60
"Monterey",43.30127,55,34.64102,60
"Monterey",43.30127,65,34.64102,60
"Kings",51.96152,70,51.96152,60
"Kings",43.30127,65,51.96152,60
"Kings",43.30127,55,51.96152,60
"Kings",51.96152,50,51.96152,60
"Kings",60.62178,55,51.96152,60
"Kings",60.62178,65,51.96152,60
"Tulare",69.28203,70,69.28203,60
"Tulare",60.62178,65,69.28203,60
"Tulare",60.62178,55,69.28203,60
"Tulare",69.28203,50,69.28203,60
"Tulare",77.94229,55,69.28203,60
"Tulare",77.94229,65,69.28203,60
"Inyo",86.60254,70,86.60254,60
"Inyo",77.94229,65,86.60254,60
"Inyo",77.94229,55,86.60254,60
"Inyo",86.60254,50,86.60254,60
"Inyo",95.26279,55,86.60254,60
"Inyo",95.26279,65,86.60254,60
"Fresno",95.26279,85,95.26279,75
"Fresno",86.60254,80,95.26279,75
"Fresno",86.60254,70,95.26279,75
"Fresno",95.26279,65,95.26279,75
"Fresno",103.92305,70,95.26279,75
"Fresno",103.92305,80,95.26279,75
"Madera",77.94229,85,77.94229,75
"Madera",69.28203,80,77.94229,75
"Madera",69.28203,70,77.94229,75
"Madera",77.94229,65,77.94229,75
"Madera",86.60254,70,77.94229,75
"Madera",86.60254,80,77.94229,75
"Merced",60.62178,85,60.62178,75
"Merced",51.96152,80,60.62178,75
"Merced",51.96152,70,60.62178,75
"Merced",60.62178,65,60.62178,75
"Merced",69.28203,70,60.62178,75
"Merced",69.28203,80,60.62178,75
"San Benito",43.30127,85,43.30127,75
"San Benito",34.64102,80,43.30127,75
"San Benito",34.64102,70,43.30127,75
"San Benito",43.30127,65,43.30127,75
"San Benito",51.96152,70,43.30127,75
"San Benito",51.96152,80,43.30127,75
"Santa Crus",17.32051,100,17.32051,90
"Santa Crus",8.66025,95,17.32051,90
"Santa Crus",8.66025,85,17.32051,90
"Santa Crus",17.32051,80,17.32051,90
"Santa Crus",25.98076,85,17.32051,90
"Santa Crus",25.98076,95,17.32051,90
"Santa Clara",34.64102,100,34.64102,90
"Santa Clara",25.98076,95,34.64102,90
"Santa Clara",25.98076,85,34.64102,90
"Santa Clara",34.64102,80,34.64102,90
"Santa Clara",43.30127,85,34.64102,90
"Santa Clara",43.30127,95,34.64102,90
"Stanislaus",51.96152,100,51.96152,90
"Stanislaus",43.30127,95,51.96152,90
"Stanislaus",43.30127,85,51.96152,90
"Stanislaus",51.96152,80,51.96152,90
"Stanislaus",60.62178,85,51.96152,90
"Stanislaus",60.62178,95,51.96152,90
"Mariposa",69.28203,100,69.28203,90
"Mariposa",60.62178,95,69.28203,90
"Mariposa",60.62178,85,69.28203,90
"Mariposa",69.28203,80,69.28203,90
"Mariposa",77.94229,85,69.28203,90
"Mariposa",77.94229,95,69.28203,90
"Mono",77.94229,115,77.94229,105
"Mono",69.28203,110,77.94229,105
"Mono",69.28203,100,77.94229,105
"Mono",77.94229,95,77.94229,105
"Mono",86.60254,100,77.94229,105
"Mono",86.60254,110,77.94229,105
"Tuolumne",60.62178,115,60.62178,105
"Tuolumne",51.96152,110,60.62178,105
"Tuolumne",51.96152,100,60.62178,105
"Tuolumne",60.62178,95,60.62178,105
"Tuolumne",69.28203,100,60.62178,105
"Tuolumne",69.28203,110,60.62178,105
"Alameda",43.30127,115,43.30127,105
"Alameda",34.64102,110,43.30127,105
"Alameda",34.64102,100,43.30127,105
"Alameda",43.30127,95,43.30127,105
"Alameda",51.96152,100,43.30127,105
"Alameda",51.96152,110,43.30127,105
"San Mateo",25.98076,115,25.98076,105
"San Mateo",17.32051,110,25.98076,105
"San Mateo",17.32051,100,25.98076,105
"San Mateo",25.98076,95,25.98076,105
"San Mateo",34.64102,100,25.98076,105
"San Mateo",34.64102,110,25.98076,105
"San Francisco",17.32051,130,17.32051,120
"San Francisco",8.66025,125,17.32051,120
"San Francisco",8.66025,115,17.32051,120
"San Francisco",17.32051,110,17.32051,120
"San Francisco",25.98076,115,17.32051,120
"San Francisco",25.98076,125,17.32051,120
"Contra Costa",34.64102,130,34.64102,120
"Contra Costa",25.98076,125,34.64102,120
"Contra Costa",25.98076,115,34.64102,120
"Contra Costa",34.64102,110,34.64102,120
"Contra Costa",43.30127,115,34.64102,120
"Contra Costa",43.30127,125,34.64102,120
"San Joaquin",51.96152,130,51.96152,120
"San Joaquin",43.30127,125,51.96152,120
"San Joaquin",43.30127,115,51.96152,120
"San Joaquin",51.96152,110,51.96152,120
"San Joaquin",60.62178,115,51.96152,120
"San Joaquin",60.62178,125,51.96152,120
"Calaveras",69.28203,130,69.28203,120
"Calaveras",60.62178,125,69.28203,120
"Calaveras",60.62178,115,69.28203,120
"Calaveras",69.28203,110,69.28203,120
"Calaveras",77.94229,115,69.28203,120
"Calaveras",77.94229,125,69.28203,120
"Alpine",77.94229,145,77.94229,135
"Alpine",69.28203,140,77.94229,135
"Alpine",69.28203,130,77.94229,135
"Alpine",77.94229,125,77.94229,135
"Alpine",86.60254,130,77.94229,135
"Alpine",86.60254,140,77.94229,135
"Amador",60.62178,145,60.62178,135
"Amador",51.96152,140,60.62178,135
"Amador",51.96152,130,60.62178,135
"Amador",60.62178,125,60.62178,135
"Amador",69.28203,130,60.62178,135
"Amador",69.28203,140,60.62178,135
"Sacramento",43.30127,145,43.30127,135
"Sacramento",34.64102,140,43.30127,135
"Sacramento",34.64102,130,43.30127,135
"Sacramento",43.30127,125,43.30127,135
"Sacramento",51.96152,130,43.30127,135
"Sacramento",51.96152,140,43.30127,135
"Solano",25.98076,145,25.98076,135
"Solano",17.32051,140,25.98076,135
"Solano",17.32051,130,25.98076,135
"Solano",25.98076,125,25.98076,135
"Solano",34.64102,130,25.98076,135
"Solano",34.64102,140,25.98076,135
"Marin",8.66025,145,8.66025,135
"Marin",0,140,8.66025,135
"Marin",0,130,8.66025,135
"Marin",8.66025,125,8.66025,135
"Marin",17.32051,130,8.66025,135
"Marin",17.32051,140,8.66025,135
"Sonoma",0,160,0,150
"Sonoma",-8.66025,155,0,150
"Sonoma",-8.66025,145,0,150
"Sonoma",0,140,0,150
"Sonoma",8.66025,145,0,150
"Sonoma",8.66025,155,0,150
"Napa",17.32051,160,17.32051,150
"Napa",8.66025,155,17.32051,150
"Napa",8.66025,145,17.32051,150
"Napa",17.32051,140,17.32051,150
"Napa",25.98076,145,17.32051,150
"Napa",25.98076,155,17.32051,150
"Yolo",34.64102,160,34.64102,150
"Yolo",25.98076,155,34.64102,150
"Yolo",25.98076,145,34.64102,150
"Yolo",34.64102,140,34.64102,150
"Yolo",43.30127,145,34.64102,150
"Yolo",43.30127,155,34.64102,150
"El Dorado",51.96152,160,51.96152,150
"El Dorado",43.30127,155,51.96152,150
"El Dorado",43.30127,145,51.96152,150
"El Dorado",51.96152,140,51.96152,150
"El Dorado",60.62178,145,51.96152,150
"El Dorado",60.62178,155,51.96152,150
"Placer",60.62178,175,60.62178,165
"Placer",51.96152,170,60.62178,165
"Placer",51.96152,160,60.62178,165
"Placer",60.62178,155,60.62178,165
"Placer",69.28203,160,60.62178,165
"Placer",69.28203,170,60.62178,165
"Yuba",43.30127,175,43.30127,165
"Yuba",34.64102,170,43.30127,165
"Yuba",34.64102,160,43.30127,165
"Yuba",43.30127,155,43.30127,165
"Yuba",51.96152,160,43.30127,165
"Yuba",51.96152,170,43.30127,165
"Sutter",25.98076,175,25.98076,165
"Sutter",17.32051,170,25.98076,165
"Sutter",17.32051,160,25.98076,165
"Sutter",25.98076,155,25.98076,165
"Sutter",34.64102,160,25.98076,165
"Sutter",34.64102,170,25.98076,165
"Colusa",8.66025,175,8.66025,165
"Colusa",0,170,8.66025,165
"Colusa",0,160,8.66025,165
"Colusa",8.66025,155,8.66025,165
"Colusa",17.32051,160,8.66025,165
"Colusa",17.32051,170,8.66025,165
"Lake",0,190,0,180
"Lake",-8.66025,185,0,180
"Lake",-8.66025,175,0,180
"Lake",0,170,0,180
"Lake",8.66025,175,0,180
"Lake",8.66025,185,0,180
"Glenn",17.32051,190,17.32051,180
"Glenn",8.66025,185,17.32051,180
"Glenn",8.66025,175,17.32051,180
"Glenn",17.32051,170,17.32051,180
"Glenn",25.98076,175,17.32051,180
"Glenn",25.98076,185,17.32051,180
"Butte",34.64102,190,34.64102,180
"Butte",25.98076,185,34.64102,180
"Butte",25.98076,175,34.64102,180
"Butte",34.64102,170,34.64102,180
"Butte",43.30127,175,34.64102,180
"Butte",43.30127,185,34.64102,180
"Nevada",51.96152,190,51.96152,180
"Nevada",43.30127,185,51.96152,180
"Nevada",43.30127,175,51.96152,180
"Nevada",51.96152,170,51.96152,180
"Nevada",60.62178,175,51.96152,180
"Nevada",60.62178,185,51.96152,180
"Sierra",60.62178,205,60.62178,195
"Sierra",51.96152,200,60.62178,195
"Sierra",51.96152,190,60.62178,195
"Sierra",60.62178,185,60.62178,195
"Sierra",69.28203,190,60.62178,195
"Sierra",69.28203,200,60.62178,195
"Plumas",43.30127,205,43.30127,195
"Plumas",34.64102,200,43.30127,195
"Plumas",34.64102,190,43.30127,195
"Plumas",43.30127,185,43.30127,195
"Plumas",51.96152,190,43.30127,195
"Plumas",51.96152,200,43.30127,195
"Tehama",25.98076,205,25.98076,195
"Tehama",17.32051,200,25.98076,195
"Tehama",17.32051,190,25.98076,195
"Tehama",25.98076,185,25.98076,195
"Tehama",34.64102,190,25.98076,195
"Tehama",34.64102,200,25.98076,195
"Mendocino",8.66025,205,8.66025,195
"Mendocino",0,200,8.66025,195
"Mendocino",0,190,8.66025,195
"Mendocino",8.66025,185,8.66025,195
"Mendocino",17.32051,190,8.66025,195
"Mendocino",17.32051,200,8.66025,195
"Humboldt",0,220,0,210
"Humboldt",-8.66025,215,0,210
"Humboldt",-8.66025,205,0,210
"Humboldt",0,200,0,210
"Humboldt",8.66025,205,0,210
"Humboldt",8.66025,215,0,210
"Trinity",17.32051,220,17.32051,210
"Trinity",8.66025,215,17.32051,210
"Trinity",8.66025,205,17.32051,210
"Trinity",17.32051,200,17.32051,210
"Trinity",25.98076,205,17.32051,210
"Trinity",25.98076,215,17.32051,210
"Shasta",34.64102,220,34.64102,210
"Shasta",25.98076,215,34.64102,210
"Shasta",25.98076,205,34.64102,210
"Shasta",34.64102,200,34.64102,210
"Shasta",43.30127,205,34.64102,210
"Shasta",43.30127,215,34.64102,210
"Lassen",51.96152,220,51.96152,210
"Lassen",43.30127,215,51.96152,210
"Lassen",43.30127,205,51.96152,210
"Lassen",51.96152,200,51.96152,210
"Lassen",60.62178,205,51.96152,210
"Lassen",60.62178,215,51.96152,210
"Modoc",43.30127,235,43.30127,225
"Modoc",34.64102,230,43.30127,225
"Modoc",34.64102,220,43.30127,225
"Modoc",43.30127,215,43.30127,225
"Modoc",51.96152,220,43.30127,225
"Modoc",51.96152,230,43.30127,225
"Siskiyou",25.98076,235,25.98076,225
"Siskiyou",17.32051,230,25.98076,225
"Siskiyou",17.32051,220,25.98076,225
"Siskiyou",25.98076,215,25.98076,225
"Siskiyou",34.64102,220,25.98076,225
"Siskiyou",34.64102,230,25.98076,225
"Del Norte",8.66025,235,8.66025,225
"Del Norte",0,230,8.66025,225
"Del Norte",0,220,8.66025,225
"Del Norte",8.66025,215,8.66025,225
"Del Norte",17.32051,220,8.66025,225
"Del Norte",17.32051,230,8.66025,225
